imgurl,name,tags
https://recipe52.com/wp-content/uploads/2024/02/Shepherds-pie-1-300x300.jpg,Indian Shepherd's Pie Recipe,"['shepherdspie', 'irish', 'dinner']"
https://recipe52.com/wp-content/uploads/2021/10/Roti-Recipe-37-360x360.jpg,Soft Roti Recipe (with Secret Tips),"['chapati', 'roti', 'indian', 'pakistani', 'dinner']"
https://recipe52.com/wp-content/uploads/2024/03/Spicy-chicken-sandwich-2-360x360.jpg,Spicy Chicken Sandwich,"['spicychickensandwich', 'american', 'appetizer']"
https://recipe52.com/wp-content/uploads/2022/04/mongolian-beef-3-360x360.jpg,Spicy Mongolian Beef,"['mongolianbeef', 'american', 'chinese', 'world', 'dinner']"
https://recipe52.com/wp-content/uploads/2022/06/strawberry-icecream-6-360x360.jpg,Homemade Strawberry Ice Cream with Condensed Milk,"['strawberryicecream', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2022/03/Strawberry-jam-300x300.jpg,Strawberry Jam without Pectin,"['strawberryjamwithoutpectin', 'world', 'breakfast']"
https://recipe52.com/wp-content/uploads/2023/03/Chicken-satay-3-300x300.jpg,Thai Chicken Satay,"['thaichickensatay', 'thai', 'appetizer']"
https://recipe52.com/wp-content/uploads/2023/02/Thai-Red-Curry-14-300x300.jpg,Thai Red Curry Chicken ,"['chicken', 'red', 'thaicurry', 'thai', 'dinner']"
https://recipe52.com/wp-content/uploads/2016/12/Tikka-paratha-roll-bake-1-of-1-500x500.jpg,Tikka Paratha Roll Bake,"['tikkaparatharollbake', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2022/12/tomato-jam-5-360x360.jpg,Tomato Jam Recipe,"['tomatojam', 'american', 'condiment']"
https://recipe52.com/wp-content/uploads/2023/02/Tom-kha-gai-4-300x300.jpg,Easy Tom Kha Gai,"['tomkhagaisoup', 'thai', 'soup']"
https://recipe52.com/wp-content/uploads/2019/04/sabzi-biyani-1-of-1-500x500.jpg,Vegetable Biryani,"['easyvegetablebiryani', 'bohras', 'indian', 'pakistani', 'dinner', 'maincourse']"
https://recipe52.com/wp-content/uploads/2024/03/Vegetable-samosa-2-360x360.jpg,Vegetable Samosa,"['vegetablesamosa', 'indian', 'pakistani', 'appetizer']"
https://recipe52.com/wp-content/uploads/2017/04/white-korma-1.gif,White Chicken Korma,"['whitechickenkorma', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2018/04/White-Chicken-Karahi-Recipe-with-Cream-500x500.jpg,White Chicken Karahi,"['chickencurry', 'whitekarahi', 'indian', 'pakistani', 'maincourse']"
